category_list,market,funding_total_usd,status,country_code,funding_rounds,founded_at,first_funding_at,last_funding_at,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,product_crowdfunding,market_missing,category_missing,country_missing,Startup_age,days_to_funding,funding_duration_days,funding_per_round,single_funding_event,funding_stage_reached,has_institutional_vc
|CRM|Financial Services|Cloud Computing|, Cloud Computing ,,operating,missing,1.0,2012-01-01,2014-06-02,2014-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,14.0,883.0,0.0,,1,0,0
|Insurance|Consumer Electronics|Gps|Tracking|Internet of Things|Fleet Management|Enterprise Software|, Fleet Management ,300000.0,operating,POL,1.0,2012-06-01,2013-02-12,2013-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,256.0,0.0,300000.0,1,1,0
|Curated Web|, Curated Web ,500000.0,operating,USA,1.0,2009-03-31,2011-01-01,2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,641.0,0.0,500000.0,1,1,0
|Cloud Management|IaaS|Cloud Computing|Enterprise Software|, Cloud Management ,11000000.0,acquired,USA,1.0,2008-01-01,2010-01-01,2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.0,731.0,0.0,11000000.0,1,3,1
|Apps|SMS|E-Commerce|, SMS ,378812.0,operating,GBR,1.0,2005-01-01,2013-07-24,2013-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,21.0,3126.0,0.0,378812.0,1,1,0
|Wireless|Mobile|, Mobile ,4000000.0,operating,USA,1.0,2014-01-31,2014-02-18,2014-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,12.0,18.0,0.0,4000000.0,1,2,1
|Open Source|Cloud Computing|Mobile|Software|Enterprise Software|, Open Source ,5550000.0,operating,USA,2.0,2010-01-01,2011-06-21,2014-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,536.0,1232.0,2775000.0,0,2,1
|Finance|Billing|Cloud Computing|Enterprise Software|, Cloud Computing ,9818000.0,operating,USA,3.0,2011-02-01,2011-12-22,2012-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,324.0,203.0,3272666.6666666665,0,2,1
|Recruiting|Education|, Education ,120000.0,operating,USA,1.0,2013-03-01,2014-08-01,2014-08-01,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0,0,0,13.0,518.0,0.0,120000.0,1,0,0
|Photography|, Photography ,2000000.0,operating,CHN,1.0,,2012-05-01,2012-05-01,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0,0,0,,,0.0,2000000.0,1,0,0
|Enterprise Software|, Enterprise Software ,650000.0,operating,USA,1.0,2011-01-01,2012-10-22,2012-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,660.0,0.0,650000.0,1,2,1
|Enterprise Software|Software|, Software ,25000.0,operating,MEX,1.0,2011-01-01,2013-06-01,2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,882.0,0.0,25000.0,1,1,0
|Coupons|Promotional|Discounts|Curated Web|, Coupons ,1550000.0,operating,GBR,2.0,,2013-12-08,2014-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,44.0,775000.0,0,0,1
|Optimization|Analytics|Cloud Computing|Web Hosting|, Web Hosting ,1200000.0,operating,USA,2.0,2012-01-01,2012-12-05,2013-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,339.0,280.0,600000.0,0,1,0
|Databases|Big Data|Cloud Computing|Enterprise Software|, Enterprise Software ,18250000.0,acquired,USA,8.0,2008-05-01,2008-05-01,2013-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.0,0.0,1839.0,2281250.0,0,3,1
|Enterprise Software|, Enterprise Software ,,operating,GBR,1.0,,2011-06-29,2011-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,,1,0,0
|Technology|Social Media|Software|, Technology ,15000.0,operating,USA,1.0,2012-01-28,2012-01-29,2012-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,1.0,0.0,15000.0,1,1,0
|Education|, Education ,110000000.0,operating,CHN,1.0,2004-01-01,2013-07-08,2013-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,22.0,3476.0,0.0,110000000.0,1,0,0
|Cloud Computing|, Cloud Computing ,125000.0,operating,USA,1.0,2012-01-01,2013-09-01,2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,609.0,0.0,125000.0,1,1,0
|Travel|Hotels|Enterprise Software|Hospitality|, Enterprise Software ,2800000.0,operating,USA,2.0,2012-10-01,2012-01-17,2013-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,0.0,696.0,1400000.0,0,2,1
|Software|Cloud Computing|Enterprise Software|, Enterprise Software ,27700000.0,operating,USA,4.0,2010-01-01,2010-11-29,2014-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,332.0,1192.0,6925000.0,0,3,1
|Software|, Software ,1000000.0,operating,USA,1.0,2009-08-01,2014-05-05,2014-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,1738.0,0.0,1000000.0,1,0,1
|Enterprise Software|, Enterprise Software ,9915000.0,acquired,USA,2.0,2001-01-01,2008-03-13,2009-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,25.0,2628.0,648.0,4957500.0,0,2,1
|Cloud Computing|Software|, Cloud Computing ,1500000.0,operating,USA,1.0,2012-01-01,2013-04-23,2013-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,478.0,0.0,1500000.0,1,1,0
|Messaging|Consumer Internet|Cloud Management|Cloud Computing|Mobile|, Messaging ,1220000.0,operating,USA,2.0,2010-11-01,2011-03-01,2011-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,120.0,217.0,610000.0,0,0,1
|Building Products|Wholesale|B2B|, Wholesale ,,operating,ZAF,1.0,2014-10-01,2014-07-11,2014-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,12.0,0.0,0.0,,1,0,0
|Storage|Enterprise Software|, Storage ,6100000.0,operating,USA,2.0,2010-01-01,2012-06-26,2013-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,907.0,357.0,3050000.0,0,3,1
|MMO Games|Social Games|Video Games|Mobile Games|, Video Games ,1550000.0,operating,USA,1.0,2013-11-11,2014-10-08,2014-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,331.0,0.0,1550000.0,1,1,0
|Video|, Video ,300000.0,operating,missing,1.0,2013-11-01,2013-11-01,2013-11-01,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,0,0,1,13.0,0.0,0.0,300000.0,1,0,0
|Web Hosting|, Web Hosting ,515000.0,operating,USA,2.0,2012-11-26,2014-02-26,2014-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,457.0,236.0,257500.0,0,1,0
|Enterprise Software|, Enterprise Software ,11500000.0,operating,USA,1.0,2011-01-01,2012-06-25,2012-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,541.0,0.0,11500000.0,1,2,1
|Mobile|, Mobile ,40000.0,operating,CAN,1.0,,2013-08-23,2013-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,40000.0,1,1,0
|Cloud Computing|Enterprise Software|, Cloud Computing ,2000000.0,operating,USA,1.0,2011-01-01,2013-04-11,2013-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,831.0,0.0,2000000.0,1,2,1
|Soccer|Sports|Music|Games|Internet|Curated Web|, Curated Web ,5906547.0,closed,GBR,1.0,2007-02-01,2007-02-01,2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,19.0,0.0,0.0,5906547.0,1,1,0
|Cloud Computing|PaaS|Networking|Enterprise Software|, Enterprise Software ,,,DEU,1.0,2009-01-01,2011-09-15,2011-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,987.0,0.0,,1,0,0
|Security|, Security ,3140000.0,operating,USA,1.0,2007-01-01,2013-09-12,2013-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,19.0,2446.0,0.0,3140000.0,1,0,1
|Enterprise Software|, Enterprise Software ,5100000.0,operating,USA,1.0,2009-04-30,2010-08-13,2010-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,470.0,0.0,5100000.0,1,3,1
|SaaS|Email|Cloud Data Services|Collaboration|Software|, Software ,95000.0,operating,IRL,2.0,2013-01-01,2013-09-01,2014-04-25,0.0,68000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,243.0,236.0,47500.0,0,1,0
missing,missing,800000.0,operating,USA,1.0,,2014-05-01,2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,,,0.0,800000.0,1,1,0
|Cloud Computing|Business Services|Homeland Security|SaaS|Enterprise Software|, Enterprise Software ,5200000.0,operating,ISR,1.0,2012-01-01,2012-04-01,2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,91.0,0.0,5200000.0,1,0,1
|Open Source|Mobile|, Mobile ,,operating,missing,1.0,2013-06-01,2013-09-03,2013-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,13.0,94.0,0.0,,1,0,0
|Analytics|Big Data|Software|Enterprise Software|, Analytics ,1201000000.0,operating,USA,8.0,2008-10-13,2009-03-16,2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.0,154.0,1995.0,150125000.0,0,3,1
|Enterprise Software|, Enterprise Software ,50000.0,operating,USA,3.0,2008-07-01,2009-07-01,2011-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.0,365.0,729.0,16666.666666666668,0,1,0
|Outsourcing|Crowdsourcing|Web Development|Enterprise Software|, Crowdsourcing ,3700000.0,operating,USA,2.0,2010-01-01,2012-01-01,2014-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,730.0,1013.0,1850000.0,0,2,1
|Collaboration|Cloud Data Services|Cloud Computing|Apps|File Sharing|CRM|Software|, Collaboration ,2285165.0,operating,GBR,5.0,2010-01-01,2011-02-01,2014-08-27,0.0,0.0,0.0,0.0,2125172.0,0.0,0.0,0,0,0,16.0,396.0,1303.0,457033.0,0,1,0
|CRM|Google Apps|Analytics|Search|Flash Storage|Enterprise Software|, Enterprise Software ,1232200.0,operating,SWE,1.0,2012-01-01,2012-06-01,2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,152.0,0.0,1232200.0,1,2,1
|Security|Enterprise Software|, Security ,72050000.0,operating,USA,3.0,2009-07-01,2009-11-25,2013-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,147.0,1483.0,24016666.666666668,0,3,1
|Enterprise Software|, Enterprise Software ,3000000.0,acquired,USA,1.0,,2011-03-21,2011-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,3000000.0,1,2,1
|Software|, Software ,,operating,SGP,1.0,2009-01-01,2013-10-23,2013-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,1756.0,0.0,,1,0,0
|Networking|, Networking ,9000000.0,operating,USA,1.0,2013-01-01,2014-04-30,2014-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,484.0,0.0,9000000.0,1,2,1
|Finance|, Finance ,3500000.0,operating,GBR,1.0,2013-03-02,2013-11-16,2013-11-16,0.0,0.0,0.0,0.0,3500000.0,0.0,0.0,0,0,0,13.0,259.0,0.0,3500000.0,1,0,0
|Software|, Software ,7700000.0,operating,USA,2.0,2012-01-01,2013-03-12,2014-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,436.0,462.0,3850000.0,0,2,1
missing,missing,3100127.0,operating,GBR,1.0,,2014-09-26,2014-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,,,0.0,3100127.0,1,0,1
|Application Performance Monitoring|Cloud Data Services|Big Data|Networking|, Big Data ,3100000.0,operating,USA,1.0,2014-01-01,2014-09-28,2014-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,12.0,270.0,0.0,3100000.0,1,1,0
|Cloud Infrastructure|Storage|Software|, Cloud Infrastructure ,40700000.0,operating,USA,3.0,2011-01-01,2012-04-01,2014-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,456.0,828.0,13566666.666666666,0,3,1
|Mobile|Cloud Computing|SaaS|, SaaS ,1000000.0,operating,USA,1.0,2013-01-01,2014-07-07,2014-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,552.0,0.0,1000000.0,1,2,1
|Cloud Computing|Enterprise Software|, Cloud Computing ,7000000.0,operating,missing,1.0,2012-01-01,2013-09-16,2013-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,14.0,624.0,0.0,7000000.0,1,0,1
|Logistics|Construction|Mobile|, Logistics ,11700.0,operating,SGP,1.0,2013-09-10,2013-08-29,2013-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,0.0,0.0,11700.0,1,1,0
|Cloud Management|SaaS|Software|, SaaS ,40800.0,operating,ESP,1.0,,2013-12-01,2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,40800.0,1,1,0
|Networking|Venture Capital|Cloud Computing|Enterprise Software|, Networking ,2750000.0,acquired,USA,2.0,2009-01-01,2009-09-14,2010-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,256.0,226.0,1375000.0,0,2,1
|Enterprise Software|, Enterprise Software ,6000000.0,operating,CAN,1.0,2003-01-01,2013-06-25,2013-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,23.0,3828.0,0.0,6000000.0,1,2,1
|Google Apps|Cloud Security|IT Management|SaaS|Enterprise Software|, Google Apps ,34900000.0,operating,USA,4.0,2011-01-21,2008-03-16,2014-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,0.0,2444.0,8725000.0,0,3,1
|Entertainment|Facebook Applications|Games|, Games ,2000000.0,operating,USA,1.0,2008-12-01,2012-08-01,2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.0,1339.0,0.0,2000000.0,1,3,1
|Navigation|Machine Learning|Automotive|Maps|iPhone|Mobile|Location Based Services|, Navigation ,16297850.0,operating,USA,3.0,2008-03-01,2007-01-01,2010-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18.0,0.0,1303.0,5432616.666666667,0,3,1
|Mobile Security|Security|, Mobile Security ,27500000.0,operating,USA,2.0,2001-01-01,2003-07-21,2010-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,25.0,931.0,2403.0,13750000.0,0,0,1
|Personal Health|mHealth|Mobile Health|Health Care Information Technology|Health Care|, Health Care Information Technology ,100000.0,operating,missing,1.0,2013-04-19,2013-06-15,2013-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,13.0,57.0,0.0,100000.0,1,1,0
|Software|Analytics|Real Time|Big Data|Enterprise Software|, Software ,5300000.0,acquired,USA,2.0,2007-04-01,2009-04-01,2012-04-27,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,0,0,0,19.0,731.0,1122.0,2650000.0,0,2,1
missing,missing,40000.0,operating,CHL,1.0,,2014-06-01,2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,,,0.0,40000.0,1,1,0
|Windows Phone 7|Android|iOS|Mobile|Enterprise Software|, Windows Phone 7 ,3209278.0,operating,USA,7.0,2011-05-01,2011-09-01,2014-06-18,0.0,0.0,0.0,1914278.0,0.0,0.0,0.0,0,0,0,15.0,123.0,1021.0,458468.28571428574,0,1,1
|Software|, Software ,17999957.0,operating,missing,1.0,2009-10-01,2014-12-02,2014-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,17.0,1888.0,0.0,17999957.0,1,0,1
|Software|, Software ,3050000.0,operating,USA,2.0,2008-01-01,2013-11-08,2014-06-16,0.0,0.0,0.0,650000.0,0.0,0.0,0.0,0,0,0,18.0,2138.0,220.0,1525000.0,0,2,1
|Health Care|, Health Care ,42260000.0,operating,missing,2.0,2007-01-01,2013-06-11,2013-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,19.0,2353.0,141.0,21130000.0,0,3,1
|Social Media|Enterprises|Mobile|Cloud Computing|Enterprise Software|, Social Media ,26140000.0,operating,USA,4.0,2009-10-01,2010-10-27,2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,391.0,705.0,6535000.0,0,3,1
|Software|, Software ,6400000.0,operating,USA,3.0,,2011-08-31,2014-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,894.0,2133333.3333333335,0,3,1
|Cloud Computing|Enterprise Software|, Cloud Computing ,1215000.0,operating,USA,2.0,2010-11-01,2010-01-04,2012-08-01,0.0,0.0,0.0,0.0,375000.0,0.0,0.0,0,0,0,16.0,0.0,940.0,607500.0,0,1,0
|E-Commerce|, E-Commerce ,2000000.0,operating,DEU,1.0,2012-01-01,2014-01-27,2014-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,757.0,0.0,2000000.0,1,2,1
|Security|, Security ,53000000.0,operating,USA,4.0,2009-01-01,2011-04-27,2014-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,846.0,1023.0,13250000.0,0,3,1
|Software|, Software ,16000000.0,operating,USA,1.0,,2012-12-05,2012-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,16000000.0,1,3,1
|Human Resources|Software|, Human Resources ,36450000.0,operating,missing,2.0,,2008-12-17,2011-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,,,1041.0,18225000.0,0,2,1
|Virtualization|Analytics|, Virtualization ,27500000.0,operating,USA,4.0,2011-01-01,2011-11-18,2014-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,321.0,948.0,6875000.0,0,3,1
|Enterprise Software|, Enterprise Software ,6000000.0,operating,SGP,1.0,,2011-01-05,2011-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,6000000.0,1,0,1
|Data Security|Health and Insurance|Cloud Data Services|Security|Enterprise Software|, Enterprise Software ,2236041.0,operating,USA,1.0,2010-01-01,2012-10-01,2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,1004.0,0.0,2236041.0,1,3,1
|Cloud Management|Infrastructure|Cloud Computing|Software|, Software ,135753.0,operating,BGR,2.0,2013-10-01,2013-09-01,2014-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,0.0,215.0,67876.5,0,1,0
|Security|Storage|Software|, Security ,375575.0,operating,DEU,1.0,2009-11-30,2009-11-30,2009-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,0.0,0.0,375575.0,1,1,0
|SaaS|PaaS|Infrastructure|Enterprises|Cloud Computing|IaaS|Enterprise Software|, SaaS ,14000000.0,acquired,USA,2.0,2006-01-01,2011-09-21,2013-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,20.0,2089.0,609.0,7000000.0,0,3,1
|Infrastructure|IaaS|Cloud Computing|Consulting|, Cloud Computing ,750901.0,operating,FRA,1.0,2012-12-01,2014-11-06,2014-11-06,0.0,0.0,0.0,0.0,750901.0,0.0,0.0,0,0,0,14.0,705.0,0.0,750901.0,1,0,0
|Web Development|Enterprise Software|, Web Development ,20000000.0,operating,USA,2.0,2007-01-01,2009-12-11,2011-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,19.0,1075.0,571.0,10000000.0,0,3,1
|Web Hosting|, Web Hosting ,25000000.0,acquired,USA,2.0,2000-01-01,2005-10-28,2007-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,26.0,2127.0,689.0,12500000.0,0,0,1
|Software|, Software ,12500.0,operating,missing,1.0,,2014-02-01,2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,,,0.0,12500.0,1,1,0
|Finance|Data Integration|Enterprise Software|, Finance ,318000.0,operating,USA,3.0,2011-10-01,2012-01-01,2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,92.0,213.0,106000.0,0,1,0
|Cloud Computing|Web Development|Enterprise Software|, Web Development ,149180.0,closed,IRL,1.0,2009-07-01,2009-11-27,2009-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,149.0,0.0,149180.0,1,1,0
|SaaS|Software|, SaaS ,200000.0,operating,missing,1.0,2010-01-01,2010-01-01,2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,16.0,0.0,0.0,200000.0,1,1,0
|Customer Service|Accounting|Tech Field Support|Outsourcing|, Accounting ,500000.0,operating,AUS,1.0,2010-01-15,2013-11-21,2013-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,1406.0,0.0,500000.0,1,1,0
|Software|, Software ,,operating,USA,1.0,2009-06-18,2009-07-07,2009-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,19.0,0.0,,1,0,0
|Enterprise Software|, Enterprise Software ,1500000.0,operating,USA,1.0,,2011-08-24,2011-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,1500000.0,1,3,1
|Web Tools|Discounts|E-Commerce|, E-Commerce ,500000.0,operating,USA,1.0,2012-11-01,2013-05-28,2013-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,208.0,0.0,500000.0,1,1,0
|Finance|, Finance ,1400000.0,operating,USA,2.0,2011-01-01,2013-02-11,2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,772.0,414.0,700000.0,0,1,0
|Software|, Software ,15400000.0,acquired,missing,2.0,,2009-01-26,2009-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,,,154.0,7700000.0,0,3,1
|Mobile|, Mobile ,,,USA,1.0,,2008-01-10,2008-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,,1,0,0
|Advertising|E-Commerce|Social Commerce|Mobile|, Mobile ,2004505.0,operating,USA,3.0,2012-04-20,2012-11-01,2014-10-09,0.0,470000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,195.0,707.0,668168.3333333334,0,1,1
|Messaging|, Messaging ,8963293.0,operating,USA,2.0,2010-01-01,2009-12-21,2011-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,0.0,395.0,4481646.5,0,2,1
|Social Network Media|Publishing|, Publishing ,1800000.0,operating,missing,1.0,2012-01-01,2013-06-18,2013-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,14.0,534.0,0.0,1800000.0,1,1,0
|Cloud Computing|Enterprise Software|, Cloud Computing ,600000.0,operating,USA,1.0,2011-01-01,2011-05-23,2011-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,142.0,0.0,600000.0,1,1,0
|Enterprise Software|, Enterprise Software ,18000000.0,operating,USA,2.0,2010-12-01,2012-12-13,2013-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,743.0,215.0,9000000.0,0,3,1
|Cloud Management|Web Development|Analytics|Business Intelligence|Cloud Computing|Software|, Software ,,,IRL,1.0,2011-08-20,2012-10-02,2012-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,409.0,0.0,,1,0,0
|Enterprise Software|, Enterprise Software ,4415653.0,acquired,USA,2.0,2011-01-01,2012-11-07,2013-07-01,0.0,0.0,0.0,0.0,4415653.0,0.0,0.0,0,0,0,15.0,676.0,236.0,2207826.5,0,0,0
|Enterprise Software|, Enterprise Software ,3101108.0,operating,USA,3.0,2011-01-01,2012-04-09,2013-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,464.0,407.0,1033702.6666666666,0,0,1
|Hardware + Software|, Hardware + Software ,3400000.0,operating,USA,2.0,2010-09-16,2012-12-06,2013-07-19,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0,0,0,16.0,812.0,225.0,1700000.0,0,0,1
|Virtual Currency|Credit Cards|Point of Sale|, Credit Cards ,,operating,missing,1.0,,2014-06-13,2014-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,,,0.0,,1,0,0
|Big Data|Performance Marketing|Networking|Mobile|Messaging|, Performance Marketing ,,operating,USA,2.0,2013-11-01,2013-08-01,2014-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,0.0,258.0,,0,0,0
|Local|Translation|Enterprise Software|, Enterprise Software ,2400000.0,operating,USA,2.0,2010-03-26,2011-04-05,2012-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,375.0,409.0,1200000.0,0,3,1
|SaaS|CRM|Data Integration|Enterprise Software|, SaaS ,1200000.0,operating,ESP,1.0,2012-07-31,2011-09-11,2011-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,0.0,0.0,1200000.0,1,1,0
missing,missing,150000.0,operating,USA,2.0,2011-11-01,2012-08-01,2012-08-31,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,1,1,0,15.0,274.0,30.0,75000.0,0,0,1
missing,missing,209050.0,operating,missing,1.0,2012-01-01,2014-07-09,2014-07-09,0.0,0.0,0.0,209050.0,0.0,0.0,0.0,1,1,1,14.0,920.0,0.0,209050.0,1,0,0
|Cloud Computing|Enterprise Software|, Enterprise Software ,32370.0,operating,FRA,1.0,2011-03-18,2011-01-11,2011-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,0.0,0.0,32370.0,1,0,1
|IaaS|Cloud Computing|Software|, Software ,5500000.0,operating,ISR,2.0,2011-09-01,2011-09-01,2014-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,0.0,1110.0,2750000.0,0,2,1
|Marketplaces|All Students|Teachers|Education|Social Network Media|Software|, Education ,25000.0,acquired,CHL,1.0,2011-09-01,2011-09-01,2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15.0,0.0,0.0,25000.0,1,1,0
|Cloud Management|Cloud Computing|Enterprise Software|, Cloud Management ,3532577.0,acquired,USA,1.0,2009-05-01,2012-12-06,2012-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,1315.0,0.0,3532577.0,1,0,1
